"Category","Feature Supported in Source","Spanner GoogleSQL Equivalent Feature","Notes (Spanner GoogleSQL)","Spanner PostgreSQL Equivalent Feature","Notes (Spanner PostgreSQL)","Source DB Documentation URL","Spanner Documentation URL"
"Constraints","Cascading Foreign Keys","Unsupported","Spanner does not currently support ON DELETE CASCADE / ON UPDATE CASCADE natively. Must be handled in application tier via transaction logic.","Unsupported","Same as GoogleSQL, application tier refactoring required.","https://dev.mysql.com/doc/refman/8.0/en/create-table-foreign-keys.html","https://cloud.google.com/spanner/docs/foreign-keys"
"Constraints","Deferred Constraints","Unsupported","Spanner does not support deferred constraints (evaluating at commit). FKs are checked immediately.","Unsupported","Same limitation in PG dialect.","https://dev.mysql.com/doc/refman/8.0/en/information-schema-check-constraints-table.html","https://cloud.google.com/spanner/docs/foreign-keys"
"Constraints","Check/Unique Constraints","CHECK CONSTRAINTS, UNIQUE INDEXES","Supported. Unique constraints are modelled as unique indexes.","CHECK CONSTRAINTS, UNIQUE INDEXES","Supported natively.","https://dev.mysql.com/doc/refman/8.0/en/create-table-check-constraints.html","https://cloud.google.com/spanner/docs/data-definition-language#check_constraint"
"Indexes","Partial/Filtered Indexes","NULL-FILTERED INDEXES","Spanner supports indexing only non-null values. General condition-based partial indexes are not formally supported.","NULL-FILTERED INDEXES","General partial indexes not supported.","https://dev.mysql.com/doc/refman/8.0/en/create-index.html","https://cloud.google.com/spanner/docs/secondary-indexes"
"Indexes","Function-Based Indexes","GENERATED COLUMNS + INDEX","Achieved by creating a generated column and indexing it.","GENERATED COLUMNS + INDEX","Achieved by creating a generated column and indexing it.","https://dev.mysql.com/doc/refman/8.0/en/create-index.html#create-index-functional","https://cloud.google.com/spanner/docs/generated-column"
"Indexes","Bitmap Indexes","Unsupported","Not applicable to Spanner's indexing model.","Unsupported","Not applicable.","No direct MySQL bitmap index natively, but often discussed in DW context","https://cloud.google.com/spanner/docs/secondary-indexes"
"Indexes","Full-Text/Vector Indexes","SEARCH INDEXES / VECTOR INDEX","Spanner now supports full text search (Search Indexes) and vector indexing (K-NN).","SEARCH INDEXES / VECTOR INDEX","Also supported.","https://dev.mysql.com/doc/refman/8.0/en/fulltext-search.html","https://cloud.google.com/spanner/docs/search"
"Transactions","Transaction Isolation Levels (vs Strict Serializability)","STRICT SERIALIZABILITY","Spanner enforces strict serializability. Read-only transactions can read in the past. MySQL default is REPEATABLE READ.","STRICT SERIALIZABILITY","Same as GoogleSQL.","https://dev.mysql.com/doc/refman/8.0/en/innodb-transaction-isolation-levels.html","https://cloud.google.com/spanner/docs/transactions"
"Transactions","Pessimistic Locking (SELECT FOR UPDATE)","Locks in Read/Write Txns","By default, reading a row in an RW transaction acquires shared locks. Can't explicitly SELECT FOR UPDATE.","Locks in Read/Write Txns","Supported similarly in RW transactions, explicit limits in syntax.","https://dev.mysql.com/doc/refman/8.0/en/innodb-locking-reads.html","https://cloud.google.com/spanner/docs/transactions"
"Transactions","Autonomous Transactions","Unsupported","Not supported. Transactions are flat.","Unsupported","Not supported.","https://mysqlserverteam.com/ (Stored procedures don't support true PRAGMA AUTONOMOUS_TRANSACTION)","https://cloud.google.com/spanner/docs/transactions"
"Storage","Table Partitioning (Range/Hash/List)","INTERLEAVING / DIRECTED PARTITIONING","Spanner distributes data dynamically. Interleaving provides collocation. Wait, Spanner doesn't do traditional range partitioning by user DDL.","INTERLEAVING / DIRECTED PARTITIONING","Same. Interleaving is recommended for collocation.","https://dev.mysql.com/doc/refman/8.0/en/partitioning.html","https://cloud.google.com/spanner/docs/schema-design"
"Storage","Temporary Tables (Global vs Session)","Unsupported","Not natively supported. Have to use permanent tables with TTL or application logic.","Unsupported","Not supported.","https://dev.mysql.com/doc/refman/8.0/en/create-temporary-table.html","https://cloud.google.com/spanner/docs/data-definition-language"
"Storage","Time Travel/Flashback","STALE READS","Spanner allows exact timestamp reads up to `version_retention_period` (max 7 days).","STALE READS","Same capability.","N/A (MySQL has no direct flashback query out of box)","https://cloud.google.com/spanner/docs/reads#read_data_in_the_past"
"Storage","Change Data Capture (CDC)","CHANGE STREAMS","Change Streams supported to capture all DML events.","CHANGE STREAMS","Supported.","https://dev.mysql.com/doc/refman/8.0/en/replication.html (binlog)","https://cloud.google.com/spanner/docs/change-streams"
"Storage","Object-Relational Collections","ARRAY","Spanner GoogleSQL supports ARRAY of base types.","ARRAY","PG.ARRAY supported.","N/A","https://cloud.google.com/spanner/docs/reference/standard-sql/data-types#array_type"
"Views","Materialized Views (refresh logic)","Unsupported","Spanner does not natively support materialized views yet.","Unsupported","Not natively supported.","https://dev.mysql.com/doc/refman/8.0/en/views.html (No MV natively, user maintained)","https://cloud.google.com/spanner/docs/views"
